7566,0.02
15157,0.07
22634,0.08
30171,0.06
38170,0.07
44984,0.12
52083,0.13
58181,0.26
63787,0.31
68956,0.39
75211,0.345
81630,0.265
89743,0.145
96877,0.155
104015,0.16
109034,0.38
115243,0.32
122734,0.15
129584,0.205
136289,0.245
142918,0.18
148734,0.28
154154,0.315
158974,0.435
164203,0.385
169025,0.445
173581,0.445
178203,0.415
182457,0.46
186878,0.425
191913,0.335
197389,0.345
202957,0.35
206957,0.45
210949,0.46
215102,0.44
219133,0.45
223416,0.425
228426,0.39
233002,0.45
237122,0.435
241349,0.5
245675,0.445
250145,0.47
254125,0.51
259095,0.395
263440,0.53
267498,0.505
271837,0.5
276536,0.62
280620,0.62
284502,0.53
288466,0.57
292509,0.555
296656,0.6
300518,0.735
304761,0.66
309338,0.645
313385,0.63
317272,0.72
321465,0.71
325748,0.89
330059,0.675
334095,0.8
338059,0.89
341897,0.795
345785,0.76
349578,0.75
353548,0.845
357540,0.87
361859,0.62
365610,0.555
370128,0.765
374436,0.705
379283,0.84
383708,0.86
387908,0.855
391864,0.9
395860,0.905
399805,0.905
403833,0.87
407731,0.865
411527,0.815
415797,0.615
419702,0.72
423583,0.91
427392,0.92
431199,0.8
435026,0.73
439219,0.85
443637,0.93
447824,0.825
451638,0.93
455769,0.785
459706,0.91
463502,0.815
467702,0.68
472242,0.795
476436,0.65
480848,0.435
484856,0.7
488700,0.885
492690,0.925
496549,0.88
500417,0.935
504403,0.93
508466,0.69
518077,0.335
523841,0.675
531099,0.405
537724,0.55
541642,0.89
545989,0.785
550638,0.53
554540,0.885
558664,0.825
562550,0.88
566482,0.93
570357,0.725
574248,0.87
578191,0.91
582381,0.93
586813,0.725
590819,0.84
595182,0.915
599179,0.91
602982,0.85
606937,0.915
610783,0.905
615155,0.65
619023,0.95
622875,0.91
626841,0.95
630728,0.91
635174,0.815
639146,0.825
643055,0.895
647005,0.94
650895,0.91
654978,0.9
658843,0.785
662774,0.85
666639,0.885
670487,0.81
674734,0.885
678792,0.94
682647,0.92
687216,0.77
691592,0.85
695602,0.91
700759,0.71
704587,0.705
708739,0.74
712526,0.85
716522,0.85
720352,0.905
724791,0.79
728730,0.905
732834,0.855
736906,0.775
740655,0.78
744504,0.895
748421,0.95
752301,0.92
756104,0.835
760273,0.84
764175,0.915
767999,0.905
771841,0.89
775718,0.925
779508,0.93
783343,0.875
787126,0.82
790951,0.895
794748,0.83
798618,0.82
802403,0.815
806268,0.85
810234,0.9
814216,0.865
818179,0.845
822312,0.87
826147,0.92
830015,0.83
833834,0.875
837595,0.895
841351,0.91
845092,0.905
849056,0.745
852865,0.87
856652,0.915
860465,0.915
864341,0.865
868049,0.84
871919,0.91
875752,0.83
879702,0.74
884052,0.65
888188,0.605
891952,0.605
895951,0.655
899702,0.67
903795,0.565
907783,0.67
911826,0.61
915858,0.61
919485,0.565
923197,0.62
927176,0.595
931044,0.585
934884,0.62
938731,0.66
943386,0.555
947208,0.715
951073,0.67
954983,0.635
959391,0.68
963300,0.705
967516,0.64
971818,0.6
975791,0.58
980079,0.52
984448,0.61
988646,0.645
992748,0.705
997009,0.57
1000861,0.72
1004685,0.61
1008468,0.54
1012198,0.54
1016065,0.555
1020336,0.62
1024692,0.71
1028728,0.715
1032495,0.66
1036756,0.595
1040515,0.575
1044425,0.695
1048465,0.585
1052396,0.51
1056205,0.495
1059775,0.515
1063801,0.58
1067676,0.77
1071665,0.625
1075841,0.68
1079642,0.64
1083865,0.68
1088120,0.705
1091997,0.685
1095792,0.64
1100122,0.63
1104141,0.58
1109938,0.71
1124782,0.1
1131888,0.415
1137651,0.385
1142349,0.515
1146924,0.565
1151955,0.645
1156523,0.665
1160474,0.665
1164625,0.625
1168620,0.72
1172545,0.66
1176484,0.65
1180441,0.525
1184765,0.525
1188909,0.615
1192988,0.68
1197749,0.76
1201627,0.76
1205599,0.79
1209260,0.685
1214289,0.565
1220513,0.615
1224378,0.695
1228632,0.445
1232514,0.61
1236793,0.535
1240575,0.745
1244449,0.6
1248643,0.695
1253277,0.535
1257591,0.64
1262404,0.52
1266533,0.705
1270362,0.7
1274185,0.695
1277947,0.795
1282174,0.81
1286616,0.64
1290385,0.78
1294596,0.68
1298517,0.845
1303204,0.435
1307254,0.475
1311745,0.63
1316837,0.5
1321277,0.67
1325285,0.705
1329297,0.605
1333499,0.7
1338722,0.495
1343427,0.63
1348012,0.725
1352586,0.655
1356789,0.675
1361266,0.655
1366328,0.59
1370400,0.61
1374410,0.72
1378420,0.84
1387691,0.375
1392882,0.455
1397011,0.51
1401148,0.575
1405249,0.745
1409980,0.475
1414579,0.59
1418596,0.61
1422461,0.805
1426598,0.68
1433277,0.475
1445475,0.15
1452219,0.42
1456364,0.59
1464772,0.39
